UDP Outside  66.185.167.133:0 Inside  10.5.146.137:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.137:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.108:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.108:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.157:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.157:5060, idle 0:00:29, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.34.105:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.34.105:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.65:5060, idle 0:00:11, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.65:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.126:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.126:5060, idle 0:00:12, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.96:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.96:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.169:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.169:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.63.108:5060, idle 0:00:03, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.63.108:5060, idle 0:00:09, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.8.20.107:5060, idle 0:00:07, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.20.107:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.13.104:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.13.104:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.103:5060, idle 0:00:09, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.103:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.88.100:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.88.100:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.41.54:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.41.54:5060, idle 0:00:17, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.57.103:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.57.103:5060, idle 0:00:07, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.53.104:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.53.104:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.110:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.110:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.63.101:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.63.101:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.170:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.170:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.170:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.170:5060, idle 0:02:40, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.170:5060, idle 0:02:40, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.1.36.116:5060, idle 0:00:17, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.1.36.116:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.1.36.116:5060, idle 0:00:25, bytes 0, flags ti 
